Step,EFA,GLD,NFLX,NOW,NVDA,PANW,PLTR,QQQ,TSLA,V,XLE,XLF
109,84.10780847947466,357.3463947959322,1245.5626015434566,4293212592.7791204,2.2040107642912284e+82,390.29919164626165,181.14314118062921,2358264.589602594,306.15322705111856,359.74802528118715,inf,49.827891908588946
110,84.13501162348973,357.8475776142342,1248.4120422514115,4950696091.128694,1.2029526539637828e+83,393.3544867951963,182.23103741277686,2551333.414282842,306.81505938857293,360.0092677605069,inf,49.86237820263548
111,84.16706179137091,358.3656657608047,1251.1848323453069,5708869701.414823,6.565735118557233e+83,396.41387743434103,183.3151521331482,2760208.688686566,307.4290398187161,360.2724617583228,inf,49.89475722863737
112,84.19037269459787,358.8742573585219,1254.320636739142,6583153827.88329,3.5835888889733147e+84,399.4953727014215,184.43218533996387,2986184.344259922,307.99115641024895,360.59855179348705,inf,49.92548658006888
113,84.21393155373431,359.4242815364702,1257.240942942586,7591329937.771475,1.9559286345372733e+85,402.61355043965375,185.601222071104,3230659.882500856,308.880319641817,360.87624302602507,inf,49.956208613662966
114,84.24064772161687,359.9417189055839,1259.9947672673527,8753903081.07878,1.0675490247149588e+86,405.7859587116885,186.71187858119282,3495149.923390004,309.5267894653172,361.1854727935724,inf,49.97984743751452
115,84.26989356042216,360.47171422332804,1262.8586369168263,10094518228.788284,5.826699911469329e+86,408.94589258783043,187.8082118209508,3781294.854309253,310.26543617666937,361.4792630794948,inf,50.00626320118509
116,84.29770620366232,360.9678890923399,1265.7099502926133,11640441864.724693,3.180222272919154e+87,412.14670037951373,188.91785032179257,4090866.656188799,310.94976944462553,361.74769003618064,inf,50.03805083871644
117,84.32203057621045,361.4939763959821,1268.9428818246454,13423115804.016209,1.735770480518999e+88,415.32414819538064,190.08041340330053,4425782.59723341,311.65825413266424,362.04246266114427,inf,50.064358061374634
118,84.34577650754817,362.037071518893,1271.738580920692,15478797012.453913,9.473863467648736e+88,418.54662076558776,191.16850444148568,4788117.567744502,312.21985054862006,362.31881895890564,inf,50.092474703454904
119,84.38005583588296,362.53226134221364,1274.859948846869,17849295228.072098,5.170850064048387e+89,421.7778031831327,192.34175223531437,5180116.0011936445,312.85093638024625,362.6044990597743,inf,50.120548944918625
120,84.40588988558439,363.0535526204172,1277.814476599046,20582823136.279533,2.822258361245408e+90,425.09644573360083,193.46208280615465,5604207.356110404,313.5530476145562,362.9370751376265,inf,50.15416955871975
121,84.43446189594452,363.5997104463321,1280.6686053988522,23734976658.410313,1.5403931962752668e+91,428.3475283693603,194.53419461148567,6063019.317672203,314.2896469667512,363.226494058849,inf,50.18685863200887
122,84.45892251118632,364.08611711747216,1283.7601128704105,27369866184.504143,8.407491077762418e+91,431.68828086480767,195.6989440965121,6559392.902380957,315.00040734619836,363.51942690065783,inf,50.21543038205267
123,84.48105652069181,364.582553920603,1286.8749617523604,31561420685.817963,4.5888222821014904e+92,435.0780450167804,196.93236030292147,7096404.598548282,315.7601092123025,363.81457821054016,inf,50.24724747139108
124,84.50639765784831,365.06804721082347,1289.8060477856181,36394890186.92709,2.504586652777682e+93,438.4704559995162,198.08274657669924,7677380.624215566,316.1993336462236,364.0561816365059,inf,50.27639422208043
125,84.5353212522013,365.57509940352105,1292.4515745944052,41968580372.95634,1.3670074619667686e+94,441.8879516226762,199.24588443068208,8305920.778692026,316.87245044582556,364.36779712953887,inf,50.30728443888212
126,84.5647889582554,366.05644671623674,1295.3116923877362,48395852752.843925,7.461148924515499e+94,445.27931677665396,200.396448273334,8985917.818134291,317.56074073820264,364.66052328093434,inf,50.34034482828714
127,84.59326641966621,366.60723625747164,1298.4947600507176,55807429088.409744,4.0723071982143144e+95,448.73368132449195,201.58079332826793,9721586.042435788,318.2265491223911,364.96688162275615,inf,50.37038009455234
128,84.62206713963592,367.0966433536049,1301.5621218860208,64354050045.81632,2.222671881288695e+96,452.2449900120917,202.81176086749088,10517483.659933135,318.93540054975074,365.2646597350656,inf,50.396022917120305
129,84.65516818137698,367.6500323801763,1304.522669601167,74209542380.25003,1.2131379219224244e+97,455.7940453580723,203.92340988766983,11378540.882800108,319.6362840651195,365.53509260441064,inf,50.42635295276985
130,84.68155814207023,368.1888039947673,1307.4746566023016,85574352159.74301,6.621326476461173e+97,459.33934320328154,205.1015007418587,12310090.77255095,320.32342980130534,365.84087701465774,inf,50.461527347382244
131,84.70520976747177,368.7250839587232,1310.6280685220397,98679624522.71892,3.613930742385047e+98,462.90807212199394,206.34292557474808,13317907.037750997,321.0328989418473,366.11338685603926,inf,50.490410726016705
132,84.73647073324493,369.21880185846055,1313.514857433942,113791901781.27333,1.9724892673976841e+99,466.4995950139466,207.5327706737908,14408232.54687998,321.64681317319827,366.3922012929616,inf,50.522566007284624
133,84.7679411844529,369.7269326529021,1316.492316196825,131218547035.41025,1.0765878450208818e+100,470.18323229827377,208.83089647982032,15587821.633118201,322.33125148772206,366.7078371385366,inf,50.54788004640316
134,84.79191228001473,370.2265221008188,1319.243826795925,151313993374.1867,5.876033939468952e+100,473.8613282793831,210.02207880182908,16863981.751816973,322.8911497292453,367.0046287817035,inf,50.580292232561646
135,84.82506681761565,370.7346053338079,1322.168336239813,174486953807.7736,3.207148865508628e+101,477.5893621251647,211.43573557754564,18244620.548255246,323.6318102677293,367.283885604084,inf,50.612539513989006
136,84.8531646463788,371.2863101733868,1325.3293209434657,201208734111.69138,1.7504670584770184e+102,481.2443959455195,212.76305823847173,19738292.153020497,324.326674156663,367.58832319766225,inf,50.64001823016316
137,84.8836862812108,371.7701165731287,1328.3994450285861,232022818115.21976,9.554077628782747e+102,484.97635347271154,213.9942081069647,21354248.797569722,325.0862987497422,367.901040309908,inf,50.66529667502517
